id,number,title,firstName,lastName,name,photoUrl,pmCandidateRank,partyId,partyCode,partyName,partyabbreviation,partyColor
ec843177-d0b1-49bb-b80d-81a354c3bc8e,31,นาย,ยืนยง,โพธิ์อุดม,นายยืนยง โพธิ์อุดม,,,cb1b6cf2-41fa-49b1-a060-01acf13edc81,48,พรรคไทยสร้างไทย,,#00ACC1
f36e01b6-537b-4ae0-9333-37c8d0b4d095,31,นางสาว,ฐิตาภรณ์,สุขประชา,นางสาวฐิตาภรณ์ สุขประชา,,,115da917-bf32-4e96-a2ae-b7818d0909ee,6,พรรครวมไทยสร้างชาติ,,#FF6D00
0d5caacb-4e87-49a9-ad6e-9d49b073a377,32,นาย,ไสว,ทัศนีย์ภาพ,นายไสว ทัศนีย์ภาพ,,,0c044088-618b-49af-a291-fb28ffe9e0f8,11,พรรคเศรษฐกิจ,,#FFA000
310f9101-0997-4d05-9465-2f7f9534bad7,32,นางสาว,ปัณฑิกา,ไชโยแสง,นางสาวปัณฑิกา ไชโยแสง,,,bcdcd19b-d619-47dd-8535-fafb6bc6f4d8,12,พรรคเสรีรวมไทย,,#C62828
32049274-a6d3-4e53-819d-78f27a9d436a,32,นาย,เจือ,ราชสีห์,นายเจือ ราชสีห์,https://gbqmnnammihcoxshkdxd.supabase.co/storage/v1/object/public/partylist-photos/27/032.jpg,,d7155f6d-736d-42c0-8bc0-00ee6e1970dc,27,พรรคประชาธิปัตย์,,#0066B3
47751996-d6d3-4f29-a694-519197b69987,32,นาย,มนูญ,บือราเฮง,นายมนูญ บือราเฮง,,,7f4755ca-ea3a-4023-869d-9cabba328db0,33,พรรคประชาชาติ,,#2E7D32
545b6552-f24d-467a-ba51-8340be333d65,32,นาย,วิชิต,ตันจรัสสกุล,นายวิชิต ตันจรัสสกุล,,,cb1b6cf2-41fa-49b1-a060-01acf13edc81,48,พรรคไทยสร้างไทย,,#00ACC1
71dd1050-ec68-4aa2-ae51-938bbfd59e04,32,นาย,ทองเพชร,เศษภักดี,นายทองเพชร เศษภักดี,,,7255d2d0-1f49-4fd8-adad-7acfea2d5126,56,พรรคเพื่อบ้านเมือง,,#1565C0
7a8e9e1b-0a03-4483-b2c6-3c27363bc5cc,32,นางสาว,รัตนาวรรณ,สุขศาลา,นางสาวรัตนาวรรณ สุขศาลา,,,115da917-bf32-4e96-a2ae-b7818d0909ee,6,พรรครวมไทยสร้างชาติ,,#FF6D00
7f81e260-9540-4bd8-ab10-618089699ba7,32,นาย,ไพบูลย์,ลิ่มรัตนะมงคล,นายไพบูลย์ ลิ่มรัตนะมงคล,,,3d55d7c9-f0bc-4803-b40e-090a7ea5d872,3,พรรคใหม่,,#FF5722
83a8f9a2-76bd-4ad7-8314-003359d0650b,32,พันตำรวจเอก,ประพนธ์,ไกรประยูร,พันตำรวจเอกประพนธ์ ไกรประยูร,,,339fa187-133c-4766-a6c2-36d1b32cda8f,23,พรรคปวงชนไทย,,#827717
8c11d3a6-2bba-4323-b717-ead12167a581,32,นาย,ณัฏฐกิตติ์,ของทิพย์,นายณัฏฐกิตติ์ ของทิพย์,,,a62aca08-91b7-4f3f-ba8f-cb9e884a3799,42,พรรคกล้าธรรม,,#5D4037
902d8cd5-834f-4be6-984f-75ec2ca89698,32,นาย,สิระ,พิมพ์กลาง,นายสิระ พิมพ์กลาง,,,2ee17641-917b-4ea0-8c19-da383e03e915,44,พรรคโอกาสใหม่,,#26C6DA
91a7d2b9-8241-4f2a-bc76-7222d3b51d5a,32,นาย,ศรสุทธา,กลั่นมาลี,นายศรสุทธา กลั่นมาลี,,,03347cbc-6089-474c-a3f6-484ae981c9a6,43,พรรคพลังประชารัฐ,,#1565C0
b53ae151-add9-48ea-aaf3-e1855179dcbb,32,นางสาว,ธนพร,วิจันทร์,นางสาวธนพร วิจันทร์,https://gbqmnnammihcoxshkdxd.supabase.co/storage/v1/object/public/partylist-photos/46/032.jpg,,1116011c-1ef3-4cca-a186-c1b9f7984ede,46,พรรคประชาชน,,#F57C00
e88a099d-fce7-4516-b79c-05983b004915,32,นางสาว,ศรีญาดา,ปาลิมาพันธ์,นางสาวศรีญาดา ปาลิมาพันธ์,https://gbqmnnammihcoxshkdxd.supabase.co/storage/v1/object/public/partylist-photos/9/032.jpg,,2d8a1c84-0bc8-4377-965d-c020a0097c27,9,พรรคเพื่อไทย,,#E4002B
ec47c178-dc5e-4002-b296-1e829ab216fb,32,นาย,พีรพร,สุวรรณฉวี,นายพีรพร สุวรรณฉวี,,,013c219e-e197-416d-84ea-00ba9c35465e,37,พรรคภูมิใจไทย,,#3949AB
fe267ab7-3597-4aeb-9f3c-3ea115f9b155,32,นาย,ชัยวัฒน์,งามศักดิ์ทวีชัย,นายชัยวัฒน์ งามศักดิ์ทวีชัย,,,965b4b93-c01e-4a2b-a987-577f2b99ebb4,49,พรรคไทยก้าวใหม่,,#1E88E5
02c912d4-7adb-44bf-aa39-f6ae67448a85,33,นาย,สมชาย,เพ็ชรจินดา,นายสมชาย เพ็ชรจินดา,,,2ee17641-917b-4ea0-8c19-da383e03e915,44,พรรคโอกาสใหม่,,#26C6DA
062eadde-a1a0-4384-b040-0c79af8adaab,33,นาย,ธนสาร,ธรรมสอน,นายธนสาร ธรรมสอน,,,a62aca08-91b7-4f3f-ba8f-cb9e884a3799,42,พรรคกล้าธรรม,,#5D4037
0774c33c-bddb-43e4-8a3f-998b2ec78c7a,33,นาย,วัชรากร,นาคทองกุล,นายวัชรากร นาคทองกุล,,,965b4b93-c01e-4a2b-a987-577f2b99ebb4,49,พรรคไทยก้าวใหม่,,#1E88E5
0da7269b-cf72-4efd-b82a-bab35199b11f,33,นาย,ธฤญเดชา,ลิภา,นายธฤญเดชา ลิภา,,,339fa187-133c-4766-a6c2-36d1b32cda8f,23,พรรคปวงชนไทย,,#827717
205fb986-5fc3-460e-9d74-5e551f222a2d,33,นางสาว,วณิชา,มีทม,นางสาววณิชา มีทม,,,3d55d7c9-f0bc-4803-b40e-090a7ea5d872,3,พรรคใหม่,,#FF5722
26af8697-4971-4864-ab54-71beb386848f,33,นาย,ไพเจน,มากสุวรรณ์,นายไพเจน มากสุวรรณ์,https://gbqmnnammihcoxshkdxd.supabase.co/storage/v1/object/public/partylist-photos/27/033.jpg,,d7155f6d-736d-42c0-8bc0-00ee6e1970dc,27,พรรคประชาธิปัตย์,,#0066B3
2a4e5aec-c740-4f69-b0d7-94328159b0e0,33,นาย,ประเสริฐ,ทองลือ,นายประเสริฐ ทองลือ,,,7255d2d0-1f49-4fd8-adad-7acfea2d5126,56,พรรคเพื่อบ้านเมือง,,#1565C0
3bf66146-ee55-43ba-8b2c-36bfbef7de8b,33,นาย,ประมวล,สีแสง,นายประมวล สีแสง,,,cb1b6cf2-41fa-49b1-a060-01acf13edc81,48,พรรคไทยสร้างไทย,,#00ACC1
4ebda45d-b706-4abd-8fa5-a57b7ae704e8,33,นาย,สราวุธ,ศุภรมย์,นายสราวุธ ศุภรมย์,,,115da917-bf32-4e96-a2ae-b7818d0909ee,6,พรรครวมไทยสร้างชาติ,,#FF6D00
5852a32f-2f81-4783-92dd-bc443fb47d19,33,นาย,เจริญธพงศ์,มาชู,นายเจริญธพงศ์ มาชู,,,bcdcd19b-d619-47dd-8535-fafb6bc6f4d8,12,พรรคเสรีรวมไทย,,#C62828
6c5ff207-24bf-4aed-b6d7-7e4063c2369d,33,นาย,พินิจ,จันทรสุรินทร์,นายพินิจ จันทรสุรินทร์,,,013c219e-e197-416d-84ea-00ba9c35465e,37,พรรคภูมิใจไทย,,#3949AB
8c50da0a-142a-49de-ab63-fd4585458bfb,33,นางสาว,ลิณธิภรณ์,วริณวัชรโรจน์,นางสาวลิณธิภรณ์ วริณวัชรโรจน์,https://gbqmnnammihcoxshkdxd.supabase.co/storage/v1/object/public/partylist-photos/9/033.jpg,,2d8a1c84-0bc8-4377-965d-c020a0097c27,9,พรรคเพื่อไทย,,#E4002B
9c0ea011-54d0-461a-985a-f86d4b2bf61f,33,นาย,สมศักดิ์,ผู่เจริญ,นายสมศักดิ์ ผู่เจริญ,,,7f4755ca-ea3a-4023-869d-9cabba328db0,33,พรรคประชาชาติ,,#2E7D32
9e1db468-0afd-4aec-af9b-9146e43bb70b,33,นางสาว,อิสยาภรณ์,วงษานุทัศน์,นางสาวอิสยาภรณ์ วงษานุทัศน์,,,03347cbc-6089-474c-a3f6-484ae981c9a6,43,พรรคพลังประชารัฐ,,#1565C0
d3b68529-b816-4402-a1f9-027eb362103c,33,นาวาโท,สุปัญญา,จันทร์เพ็ญศรี,นาวาโทสุปัญญา จันทร์เพ็ญศรี,,,0c044088-618b-49af-a291-fb28ffe9e0f8,11,พรรคเศรษฐกิจ,,#FFA000
f6ea7e15-5abe-4e89-b776-3fa0c3bdaa1a,33,นาย,กรุณพล,เทียนสุวรรณ,นายกรุณพล เทียนสุวรรณ,https://gbqmnnammihcoxshkdxd.supabase.co/storage/v1/object/public/partylist-photos/46/033.jpg,,1116011c-1ef3-4cca-a186-c1b9f7984ede,46,พรรคประชาชน,,#F57C00
02949d25-2095-43a7-b4cd-aada416bb08e,34,นาย,วิชชา,กลิ่นประทุม,นายวิชชา กลิ่นประทุม,https://gbqmnnammihcoxshkdxd.supabase.co/storage/v1/object/public/partylist-photos/9/034.jpg,,2d8a1c84-0bc8-4377-965d-c020a0097c27,9,พรรคเพื่อไทย,,#E4002B
